Nr,Code,Label,Type,Format,Valid,Invalid,Question
99,i138o,Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary,discrete,numeric-12.0,2830,20007,-
100,i139o,Was there any diagnosis by a physician or health worker of dementia?,discrete,numeric-12.0,2831,20006,-
101,i140o,Was there any diagnosis by a health professional of depression?,discrete,numeric-12.0,2807,20030,-
102,i141o,Was there any diagnosis by a health professional of stroke?,discrete,numeric-12.0,21377,1460,-
103,i142o,Was there any diagnosis by a health professional of sickle cell disease?,discrete,numeric-12.0,2922,19915,-
104,i143o,Was there any diagnosis by a health professional of kidney disease?,discrete,numeric-12.0,20790,2047,-
105,i144o,Was there any diagnosis by a health professional of liver disease?,discrete,numeric-12.0,20798,2039,-
106,i147o,"During the illness that led to death, did (s)he have a fever?",discrete,numeric-12.0,21435,1402,-
107,i148a,Did the fever last less than a week before death?,discrete,numeric-12.0,18681,4156,-
108,i148b,"Did the fever last at least one week, but less than 2 weeks before death?",discrete,numeric-12.0,134,22703,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  12  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 109 i148c Did the fever last at least 2 weeks before death?,discrete,numeric-12.0,18681,4156,-
110,i149o,Did the fever continue until death?,discrete,numeric-12.0,722,22115,-
111,i150a,Was the fever severe?,discrete,numeric-12.0,663,22174,-
112,i151a,Was the fever continuous?,discrete,numeric-12.0,703,22134,-
113,i152o,Did (s)he have night sweats?,discrete,numeric-12.0,17431,5406,-
114,i153o,"During the illness that led to death, did (s)he have a cough?",discrete,numeric-12.0,21470,1367,-
115,i154a,Did the cough last less than 3 weeks before death?,discrete,numeric-12.0,18628,4209,-
116,i154b,Did the cough last at least 3 weeks before death?,discrete,numeric-12.0,18628,4209,-
117,i155o,"Was the cough productive, with sputum?",discrete,numeric-12.0,19136,3701,-
118,i156o,Was the cough very severe?,discrete,numeric-12.0,623,22214,-
119,i157o,Did (s)he cough up blood?,discrete,numeric-12.0,14000,8837,-
120,i158o,Did (s)he make a whooping sound when coughing?,discrete,numeric-12.0,10,22827,-
121,i159o,"During the illness that led to death, did (s)he have any difficulty breathing?",discrete,numeric-12.0,21461,1376,-
122,i161a,Did the difficult breathing last for at least 3 days before death?,discrete,numeric-12.0,500,22337,-
123,i165a,Was the difficult breathing continuous during this period?,discrete,numeric-12.0,1180,21657,-
124,i166o,Did (s)he have fast breathing?,discrete,numeric-12.0,17744,5093,-
125,i167a,Did the fast breathing last for less than two weeks before death?,discrete,numeric-12.0,18591,4246,-
126,i167b,Did the fast breathing last for at least 2 weeks before death?,discrete,numeric-12.0,18591,4246,-
127,i168o,Did (s)he have breathlessness?,discrete,numeric-12.0,21461,1376,-
128,i169a,Did the breathlessness last for less than 2 weeks before death?,discrete,numeric-12.0,18677,4160,-
129,i169b,Did the breathlessness last for at least 2 weeks before death?,discrete,numeric-12.0,18677,4160,-
130,i170o,Was (s)he unable to carry out daily routines due to breathlessness?,discrete,numeric-12.0,12981,9856,-
131,i171o,Was (s)he breathless while lying flat?,discrete,numeric-12.0,2358,20479,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  13  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 132 i172o Did you see the lower chest wall/ribs being pulled in as the child breathed?,discrete,numeric-12.0,14816,8021,-
133,i173a,Did his/her breathing sound like wheezing or grunting?,discrete,numeric-12.0,12677,10160,-
134,i174o,"During the illness that led to death, did (s)he have chest pain?",discrete,numeric-12.0,16518,6319,-
135,i175o,Was the chest pain severe?,discrete,numeric-12.0,475,22362,-
136,i176a,Did (s)he experience chest pain at least 3 days before death?,discrete,numeric-12.0,174,22663,-
137,i178a,Did the chest pain last for at least 30 minutes?,discrete,numeric-12.0,332,22505,-
138,i181o,Did (s)he have diarrhoea?,discrete,numeric-12.0,18574,4263,-
139,i182a,Did (s)he have diarrhoea for less than 2 weeks before death?,discrete,numeric-12.0,15740,7097,-
140,i182b,Did (s)he have diarrhoea for at least 2 weeks but less than 4 weeks before death?,discrete,numeric-12.0,15482,7355,-
141,i182c,Did (s)he have diarrhoea for at least 4 weeks before death?,discrete,numeric-12.0,15358,7479,-
142,i183o,-,discrete,numeric-12.0,0,22837,-
143,i184a,Did the frequent loose or liquid stools start at least 3 days before death?,discrete,numeric-12.0,13,22824,-
144,i185o,Did the frequent loose or liquid stools continue up until death?,discrete,numeric-12.0,21,22816,-
145,i186o,At any time during the final illness was there blood in the stools?,discrete,numeric-12.0,17790,5047,-
146,i187o,Was there blood in the stool up until death?,discrete,numeric-12.0,31,22806,-
147,i188o,"During the illness that led to death, did (s)he vomit?",discrete,numeric-12.0,16300,6537,-
148,i189o,Did (s)he vomit in the week preceding the death?,discrete,numeric-12.0,2863,19974,-
149,i190o,Did (s)he vomit for at least 3 days before death?,discrete,numeric-12.0,77,22760,-
150,i191o,Was there blood in the vomit?,discrete,numeric-12.0,13404,9433,-
151,i192o,Was the vomit black?,discrete,numeric-12.0,397,22440,-
152,i193o,"During the illness that led to death, did (s)he have any abdominal (belly) proble",discrete,numeric-12.0,16347,6490,-
153,i194o,Did (s)he have abdominal pain?,discrete,numeric-12.0,9180,13657,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  14  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 154 i195o Was the abdominal pain severe?,discrete,numeric-12.0,230,22607,-
155,i197a,Did (s)he have severe abdominal pain for less than 2 weeks before death?,discrete,numeric-12.0,6425,16412,-
156,i197b,Did (s)he have severe abdominal pain for at least 2 weeks before death?,discrete,numeric-12.0,6425,16412,-
157,i199a,Was the pain in the upper abdomen?,discrete,numeric-12.0,162,22675,-
158,i199b,Was the pain in the lower abdomen?,discrete,numeric-12.0,162,22675,-
159,i200o,Did (s)he have a more than usually protruding abdomen?,discrete,numeric-12.0,14316,8521,-
160,i201a,Did (s)he have a more than usually protruding abdomen for less than 2 weeks befor,discrete,numeric-12.0,18591,4246,-
161,i201b,Did (s)he have a more than usually protruding abdomen for at least 2 weeks before,discrete,numeric-12.0,18591,4246,-
162,i203a,Did (s)he develop the protruding abdomen rapidly?,discrete,numeric-12.0,0,22837,-
163,i204o,Did (s)he have any mass in the abdomen?,discrete,numeric-12.0,13416,9421,-
164,i205a,Did (s)he have a mass in the abdomen for less than 2 weeks before death?,discrete,numeric-12.0,18516,4321,-
165,i205b,Did (s)he have a mass in the abdomen for at least 2 weeks before death?,discrete,numeric-12.0,18516,4321,-
166,i207o,"During the illness that led to death, did (s)he have a severe headache?",discrete,numeric-12.0,14371,8466,-
167,i208o,"During the illness that led to death, did (s)he have a stiff neck?",discrete,numeric-12.0,14082,8755,-
168,i209a,Did (s)he have a stiff neck for less than one week before death?,discrete,numeric-12.0,12975,9862,-
169,i209b,Did (s)he have a stiff neck for at least one week before death?,discrete,numeric-12.0,12975,9862,-
170,i210o,"During the illness that led to death, did (s)he have a painful neck?",discrete,numeric-12.0,2882,19955,-
171,i211a,Did (s)he have a painful neck for at least one week before death?,discrete,numeric-12.0,16,22821,-
172,i212o,"During the illness that led to death, did (s)he have mental confusion?",discrete,numeric-12.0,2812,20025,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  15  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 173 i213o Did (s)he have mental confusion for at least 3 months before death?,discrete,numeric-12.0,162,22675,-
174,i214o,"During the illness that led to death, was (s)he unconscious?",discrete,numeric-12.0,2915,19922,-
175,i215o,Was (s)he unconscious for at least 24 hours before death?,discrete,numeric-12.0,16008,6829,-
176,i216a,Was (s)he unsconscious for at least 6 hours before death?,discrete,numeric-12.0,1,22836,-
177,i217o,"Did the unconsciousness start suddenly, quickly (at least within a single day)?",discrete,numeric-12.0,252,22585,-
178,i218o,Did the unconsciousness continue until death?,discrete,numeric-12.0,52,22785,-
179,i219o,"During the illness that led to death, did (s)he have any convulsions?",discrete,numeric-12.0,17389,5448,-
180,i220o,Did (s)he experience any generalized convulsions or fits?,discrete,numeric-12.0,7,22830,-
181,i221a,Did the convulsions last for less than 10 minutes?,discrete,numeric-12.0,12,22825,-
182,i221b,Did the convulsions last for at least 10 minutes?,discrete,numeric-12.0,12,22825,-
183,i222o,Did (s)he become unconscious immediately after the convulsion?,discrete,numeric-12.0,18558,4279,-
184,i223o,"During the illness that led to death, did (s)he have any urine problems?",discrete,numeric-12.0,17947,4890,-
185,i224o,Did (s)he stop urinating?,discrete,numeric-12.0,15019,7818,-
186,i225o,Did (s)he go to urinate more often than usual?,discrete,numeric-12.0,14916,7921,-
187,i226o,Did (s)he pass blood in the urine?,discrete,numeric-12.0,14933,7904,-
188,i227o,"During the illness that led to death, did (s)he have any sores or ulcers anywhere",discrete,numeric-12.0,17839,4998,-
189,i228o,Did (s)he have sores?,discrete,numeric-12.0,1485,21352,-
190,i229o,Did the sores have clear fluid and/or pus?,discrete,numeric-12.0,175,22662,-
191,i230o,Did (s)he have an ulcer (pit) on the foot?,discrete,numeric-12.0,4216,18621,-
192,i231o,Did any ulcer ooze pus?,discrete,numeric-12.0,92,22745,-
193,i232a,Did the ulcer ooze pus for at least 2 weeks?,discrete,numeric-12.0,2,22835,-
194,i233o,"During the illness that led to death, did (s)he have any skin rash?",discrete,numeric-12.0,17573,5264,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  16  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 195 i234a Did (s)he have the skin rash for less than one week?,discrete,numeric-12.0,6663,16174,-
196,i234b,Did (s)he have the skin rash for at least one week?,discrete,numeric-12.0,6663,16174,-
197,i235a,Did (s)he have a rash on the face?,discrete,numeric-12.0,32,22805,-
198,i235b,Did (s)he have a rash on the trunk or abdomen?,discrete,numeric-12.0,32,22805,-
199,i235c,Did (s)he have a rash on the extremities?,discrete,numeric-12.0,32,22805,-
200,i235d,Did (s)he have a rash everywhere?,discrete,numeric-12.0,32,22805,-
201,i236o,Did (s)he have measles rash?,discrete,numeric-12.0,14613,8224,-
202,i237o,Did (s)he ever have shingles or herpes zoster?,discrete,numeric-12.0,15820,7017,-
203,i238o,"During the illness that led to death, did her/his skin flake off in patches?",discrete,numeric-12.0,2908,19929,-
204,i239o,"During the illness that led to death, did he/she have areas of the skin that turn",discrete,numeric-12.0,106,22731,-
205,i240o,"During the illness that led to death, did he/she have areas of the skin with redn",discrete,numeric-12.0,106,22731,-
206,i241o,"During the illness that led to death, did (s)he bleed from anywhere?",discrete,numeric-12.0,2936,19901,-
207,i242o,"Did (s)he bleed from the nose, mouth or anus?",discrete,numeric-12.0,18300,4537,-
208,i243o,"During the illness that led to death, did (s)he have noticeable weight loss?",discrete,numeric-12.0,19007,3830,-
209,i244o,Was (s)he severely thin or wasted?,discrete,numeric-12.0,20098,2739,-
210,i245o,"During the illness that led to death, did s/he have a whitish rash inside the mou",discrete,numeric-12.0,18492,4345,-
211,i246o,"During the illness that led to death, did (s)he have stiffness of the whole body",discrete,numeric-12.0,17924,4913,-
212,i247o,"During the illness that led to death, did (s)he have puffiness of the face?",discrete,numeric-12.0,16566,6271,-
213,i248a,Did (s)he have puffiness of the face for at least one week before death?,discrete,numeric-12.0,38,22799,-
214,i249o,"During the illness that led to death, did (s)he have swollen legs or feet?",discrete,numeric-12.0,2903,19934,-
215,i250a,Did the swelling last for at least 3 days before death?,discrete,numeric-12.0,51,22786,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  17  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 216 i251o Did (s)he have both feet swollen?,discrete,numeric-12.0,16577,6260,-
217,i252o,"During the illness that led to death, did (s)he have general puffiness all over h",discrete,numeric-12.0,2903,19934,-
218,i253o,"During the illness that led to death, did (s)he have any lumps?",discrete,numeric-12.0,19238,3599,-
219,i254o,Did (s)he have any lumps or lesions in the mouth?,discrete,numeric-12.0,51,22786,-
220,i255o,Did (s)he have any lumps in the neck?,discrete,numeric-12.0,15284,7553,-
221,i256o,Did (s)he have any lumps in the armpit?,discrete,numeric-12.0,15241,7596,-
222,i257o,Did (s)he have any lumps in the groin?,discrete,numeric-12.0,15240,7597,-
223,i258o,"During the illness that led to death, was (s)he in any way paralysed?",discrete,numeric-12.0,2901,19936,-
224,i259o,Did (s)he have paralysis of only one side of the body?,discrete,numeric-12.0,14974,7863,-
225,i260a,Was only the right side of the body paralysed?,discrete,numeric-12.0,220,22617,-
226,i260b,Was only the left side of the body paralysed?,discrete,numeric-12.0,220,22617,-
227,i260c,Was only the lower part of the body paralysed?,discrete,numeric-12.0,220,22617,-
228,i260d,Was only the upper part of the body paralysed?,discrete,numeric-12.0,220,22617,-
229,i260e,Was only one leg paralysed?,discrete,numeric-12.0,220,22617,-
230,i260f,Was only one arm paralysed?,discrete,numeric-12.0,220,22617,-
231,i260g,Was the entire body paralysed?,discrete,numeric-12.0,220,22617,-
232,i261o,"During the illness that led to death, did (s)he have difficulty swallowing?",discrete,numeric-12.0,2900,19937,-
233,i262a,Did (s)he have difficulty swallowing for at least one week before death?,discrete,numeric-12.0,30,22807,-
234,i263a,Did (s)he have difficulty with swallowing solids?,discrete,numeric-12.0,0,22837,-
235,i263b,Did (s)he have difficulty with swallowing liquids?,discrete,numeric-12.0,16921,5916,-
236,i264o,Did (s)he have pain upon swallowing?,discrete,numeric-12.0,2867,19970,-
237,i265o,"During the illness that led to death, did (s)he have yellow discolouration of the",discrete,numeric-12.0,13823,9014,-
238,i266a,Did (s)he have the yellow discolouration for at least 3 weeks before death?,discrete,numeric-12.0,28,22809,-
5,Verbal,"Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  18  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 239 i267o During the illness that led to death, did her/his hair change to a reddish or yel",discrete,numeric-12.0,10335,12502,-
240,i268o,"During the illness that led to death, did (s)he look pale (thinning/lack of blood",discrete,numeric-12.0,17753,5084,-
241,i269o,"During the illness that led to death, did (s)he have sunken eyes?",discrete,numeric-12.0,14488,8349,-
242,i270o,"During the illness that led to death, did (s)he drink a lot more water than usual",discrete,numeric-12.0,8133,14704,-
243,i271o,Was the baby able to suckle or bottle-feed within the first 24 hours after birth?,discrete,numeric-12.0,158,22679,-
244,i272o,Did the baby ever suckle in a normal way?,discrete,numeric-12.0,3,22834,-
245,i273o,Did the baby stop suckling?,discrete,numeric-12.0,3,22834,-
246,i274a,Did the baby stop suckling on the 2nd day of life or later?,discrete,numeric-12.0,161,22676,-
247,i275o,Did the baby have convulsions starting within the first 24 hours of life?,discrete,numeric-12.0,152,22685,-
248,i276o,Did the baby have convulsions starting more than 24 hours after birth?,discrete,numeric-12.0,151,22686,-
249,i277o,"Did the baby's body become stiff, with the back arched backwards?",discrete,numeric-12.0,3,22834,-
250,i278o,"During the illness that led to death, did the baby have a bulging or raised fonta",discrete,numeric-12.0,9474,13363,-
251,i279o,"During the illness that led to death, did the baby have a sunken fontanelle?",discrete,numeric-12.0,406,22431,-
252,i281o,"During the illness that led to death, did the baby become unresponsive or unconsc",discrete,numeric-12.0,3,22834,-
253,i282o,"Did the baby become unresponsive or unconscious soon after birth, within less tha",discrete,numeric-12.0,1,22836,-
254,i283o,Did the baby become unresponsive or unconscious more than 24 hours after birth?,discrete,numeric-12.0,1,22836,-
255,i284o,"During the illness that led to death, did the baby become cold to touch?",discrete,numeric-12.0,157,22680,-
256,i285a,Was the baby more than 3 days old when it started feeling cold to touch?,discrete,numeric-12.0,1,22836,-
5,Verbal,"Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  19  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 257 i286o During the illness that led to death, did the baby become lethargic, after a peri",discrete,numeric-12.0,2,22835,-
258,i287o,Did the baby have redness or discharge from the umbilical cord stump?,discrete,numeric-12.0,164,22673,-
259,i288o,"During the illness that led to death, did the baby have skin ulcer(s) or pits?",discrete,numeric-12.0,2,22835,-
260,i289o,"During the illness that led to death, did the baby have yellow skin, palms (hand)",discrete,numeric-12.0,156,22681,-
261,i290o,Did the baby or infant appear to be healthy and then just die suddenly?,discrete,numeric-12.0,2,22835,-
262,i294o,"During the illness that led to death, did she have any swelling or lump in the br",discrete,numeric-12.0,8968,13869,-
263,i295o,"During the illness that led to death, did she have any ulcers (pits) in the breas",discrete,numeric-12.0,1485,21352,-
264,i296o,Did she ever have a period or menstruate?,discrete,numeric-12.0,1489,21348,-
265,i297o,"During the illness that led to death, did she have excessive vaginal bleeding in",discrete,numeric-12.0,5175,17662,-
266,i298o,Was the bleeding excessive?,discrete,numeric-12.0,33,22804,-
267,i299o,Did her menstrual period stop naturally because of menopause?,discrete,numeric-12.0,1315,21522,-
268,i300o,Did she have vaginal bleeding after cessation of menstruation?,discrete,numeric-12.0,4025,18812,-
269,i301o,Was there excessive vaginal bleeding in the week prior to death?,discrete,numeric-12.0,1337,21500,-
270,i302o,At the time of death was her period overdue?,discrete,numeric-12.0,1203,21634,-
271,i303a,Had her period been overdue for at least 4 weeks?,discrete,numeric-12.0,0,22837,-
272,i304o,Did she have a sharp pain in her abdomen shortly before death?,discrete,numeric-12.0,1443,21394,-
273,i305o,Was she pregnant (incl. in labour) at the time of death?,discrete,numeric-12.0,3700,19137,-
274,i306o,"Did she die within 6 weeks of delivery, abortion or miscarriage?",discrete,numeric-12.0,6344,16493,-
275,i309o,"Was she, or had she been, pregnant for less than 6 months when she died?",discrete,numeric-12.0,4873,17964,-
276,i310o,"Please confirm: When she died, she was NEITHER",discrete,numeric-12.0,4348,18489,-
